epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.001000	68212.693082	402321.329753	300774.561490	
2.000000	0.001000	42992.370391	384520.108725	311449.240422	
3.000000	0.001000	29867.803059	371521.164309	305150.545277	
4.000000	0.001000	22032.477280	364178.100881	307624.440511	
5.000000	0.001000	18640.600228	361443.764212	306109.963827	
6.000000	0.001000	17422.347151	371479.344612	317593.815753	
7.000000	0.001000	16022.427004	357575.396109	311483.838362	
8.000000	0.001000	14742.104677	364545.173682	320773.132324	
9.000000	0.001000	13672.348748	368818.478644	329227.516506	
10.000000	0.001000	12963.190743	374892.246265	338593.700169	
11.000000	0.001000	12477.764087	374471.868100	340449.325930	
12.000000	0.001000	11951.177417	364380.661969	327126.828254	
13.000000	0.001000	11489.828960	374671.792735	344301.683656	
14.000000	0.001000	11125.379171	374508.215273	344592.936493	
15.000000	0.001000	10932.774933	383413.195034	359757.032311	
16.000000	0.001000	10624.856416	373152.717922	343674.038210	
17.000000	0.001000	10496.336722	371786.977722	340054.790552	
18.000000	0.001000	10301.317932	374223.103694	347657.619016	
19.000000	0.001000	10186.709467	383140.845405	359883.714022	
20.000000	0.001000	10046.888294	385371.529989	367437.179492	
21.000000	0.001000	9941.002235	386130.570121	368921.501270	
22.000000	0.001000	9806.995509	380397.506788	357293.003396	
23.000000	0.001000	9703.818906	382399.172133	360618.767780	
24.000000	0.001000	9616.592102	384758.657852	363859.966776	
25.000000	0.001000	9612.722579	387335.483864	368797.109263	
26.000000	0.001000	9524.060739	386968.331157	367540.964468	
27.000000	0.001000	9461.292475	387716.197433	368680.325421	
28.000000	0.001000	9380.081473	394357.806072	378028.300557	
29.000000	0.001000	9284.077398	389839.871172	369258.207607	
30.000000	0.001000	9301.298655	384856.933594	361029.331373	
